City,State,Provider ID,Hospital Name,County Name,HCAHPS Question Type,Patient Survey Star Rating (out of 5),Number of Completed Surveys,Survey Response Rate Percent,Measure Start Date,Measure End Date,,
ANCHORAGE,AK,20026,ALASKA NATIVE MEDICAL CENTER,ANCHORAGE,Summary star rating,3,731,13,4/1/2016,3/31/2017,,
ANCHORAGE,AK,20017,ALASKA REGIONAL HOSPITAL,ANCHORAGE,Summary star rating,3,816,15,4/1/2016,3/31/2017,,
ANCHORAGE,AK,20001,PROVIDENCE ALASKA MEDICAL CENTER,ANCHORAGE,Summary star rating,3,1797,20,4/1/2016,3/31/2017,,
BETHEL,AK,20018,YUKON KUSKOKWIM DELTA REG HOSPITAL,BETHEL,Summary star rating,2,260,27,4/1/2016,3/31/2017,,
FAIRBANKS,AK,20012,FAIRBANKS MEMORIAL HOSPITAL,FAIRBANKS NORTH STAR,Summary star rating,4,642,23,4/1/2016,3/31/2017,,
HOMER,AK,21313,SOUTH PENINSULA HOSPITAL,KETCHIKAN GATEWAY,Summary star rating,4,182,33,4/1/2016,3/31/2017,,
JUNEAU,AK,20008,BARTLETT REGIONAL HOSPITAL,JUNEAU,Summary star rating,4,288,21,4/1/2016,3/31/2017,,
KETCHIKAN,AK,21311,PEACEHEALTH KETCHIKAN MEDICAL CENTER,KETCHIKAN GATEWAY,Summary star rating,4,118,15,4/1/2016,3/31/2017,,
KODIAK,AK,21306,PROVIDENCE KODIAK ISLAND MEDICAL CTR,KODIAK ISLAND,Summary star rating,0,93,18,4/1/2016,3/31/2017,,
NOME,AK,21308,NORTON SOUND REGIONAL HOSPITAL,NOME,Summary star rating,0,60,22,4/1/2016,3/31/2017,,
PALMER,AK,20006,MAT-SU REGIONAL MEDICAL CENTER,MATANUSKA SUSITNA,Summary star rating,3,661,35,4/1/2016,3/31/2017,,
SOLDOTNA,AK,20024,CENTRAL PENINSULA GENERAL HOSPITAL,SHELBY,Summary star rating,3,302,16,4/1/2016,3/31/2017,,
ALABASTER,AL,10016,SHELBY BAPTIST MEDICAL CENTER,SHELBY,Summary star rating,3,916,23,4/1/2016,3/31/2017,,
ALEXANDER CITY,AL,10065,RUSSELL HOSPITAL,TALLAPOOSA,Summary star rating,4,639,31,4/1/2016,3/31/2017,,
ANDALUSIA,AL,10036,ANDALUSIA REGIONAL HOSPITAL,COVINGTON,Summary star rating,3,411,29,4/1/2016,3/31/2017,,
ANNISTON,AL,10078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,CALHOUN,Summary star rating,3,1028,18,4/1/2016,3/31/2017,,
ANNISTON,AL,10038,STRINGFELLOW MEMORIAL HOSPITAL,CALHOUN,Summary star rating,2,558,25,4/1/2016,3/31/2017,,
ASHLAND,AL,10073,CLAY COUNTY HOSPITAL,CLAY,Summary star rating,4,131,37,4/1/2016,3/31/2017,,
ATHENS,AL,10079,ATHENS LIMESTONE HOSPITAL,LIMESTONE,Summary star rating,3,410,22,4/1/2016,3/31/2017,,
ATMORE,AL,10169,ATMORE COMMUNITY HOSPITAL,ESCAMBIA,Summary star rating,4,286,36,4/1/2016,3/31/2017,,
BAY MINETTE,AL,10129,NORTH BALDWIN INFIRMARY,BALDWIN,Summary star rating,4,395,31,4/1/2016,3/31/2017,,
BESSEMER,AL,10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",JEFFERSON,Summary star rating,3,936,22,4/1/2016,3/31/2017,,
BIRMINGHAM,AL,10139,BROOKWOOD BAPTIST MEDICAL CENTER,JEFFERSON,Summary star rating,2,981,30,4/1/2016,3/31/2017,,
BIRMINGHAM,AL,10104,GRANDVIEW MEDICAL CENTER,JEFFERSON,Summary star rating,3,1552,29,4/1/2016,3/31/2017,,
BIRMINGHAM,AL,10103,PRINCETON BAPTIST MEDICAL CENTER,JEFFERSON,Summary star rating,3,1054,24,4/1/2016,3/31/2017,,
BIRMINGHAM,AL,10056,ST VINCENT'S BIRMINGHAM,JEFFERSON,Summary star rating,4,3515,36,4/1/2016,3/31/2017,,
BIRMINGHAM,AL,10011,ST VINCENT'S EAST,JEFFERSON,Summary star rating,3,2230,33,4/1/2016,3/31/2017,,
BIRMINGHAM,AL,10033,UNIVERSITY OF ALABAMA HOSPITAL,JEFFERSON,Summary star rating,4,5385,19,4/1/2016,3/31/2017,,
BOAZ,AL,10005,MARSHALL MEDICAL CENTER SOUTH,MARSHALL,Summary star rating,3,1309,36,4/1/2016,3/31/2017,,
BREWTON,AL,10099,D W MCMILLAN MEMORIAL HOSPITAL,ESCAMBIA,Summary star rating,3,264,25,4/1/2016,3/31/2017,,
BUTLER,AL,11304,CHOCTAW GENERAL HOSPITAL,CHOCTAW,Summary star rating,0,0,0,4/1/2016,3/31/2017,,
CAMDEN,AL,10102,J PAUL JONES HOSPITAL,WILCOX,Summary star rating,0,FEWER THAN 50,27,4/1/2016,3/31/2017,,
CARROLLTON,AL,10109,PICKENS COUNTY MEDICAL CENTER,PICKENS,Summary star rating,0,FEWER THAN 50,15,4/1/2016,3/31/2017,,
CENTRE,AL,10022,CHEROKEE MEDICAL CENTER,CHEROKEE,Summary star rating,4,123,34,4/1/2016,3/31/2017,,
CENTREVILLE,AL,10058,BIBB MEDICAL CENTER,BIBB,Summary star rating,0,FEWER THAN 50,13,4/1/2016,3/31/2017,,
CULLMAN,AL,10035,CULLMAN REGIONAL MEDICAL CENTER,CULLMAN,Summary star rating,3,522,21,4/1/2016,3/31/2017,,
DADEVILLE,AL,10052,LAKE MARTIN COMMUNITY HOSPITAL,TALLAPOOSA,Summary star rating,3,178,26,4/1/2016,3/31/2017,,
DECATUR,AL,10085,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,MORGAN,Summary star rating,3,565,21,4/1/2016,3/31/2017,,
DEMOPOLIS,AL,10112,BRYAN W. WHITFIELD MEMORIAL HOSPITAL,MARENGO,Summary star rating,3,158,19,4/1/2016,3/31/2017,,
DOTHAN,AL,10055,FLOWERS HOSPITAL,HOUSTON,Summary star rating,4,1042,31,4/1/2016,3/31/2017,,
DOTHAN,AL,10001,SOUTHEAST ALABAMA MEDICAL CENTER,HOUSTON,Summary star rating,3,1102,24,4/1/2016,3/31/2017,,
ENTERPRISE,AL,10049,MEDICAL CENTER ENTERPRISE,COFFEE,Summary star rating,3,630,27,4/1/2016,3/31/2017,,
EUFAULA,AL,10069,MEDICAL CENTER BARBOUR,BARBOUR,Summary star rating,4,189,35,4/1/2016,3/31/2017,,
EVERGREEN,AL,10148,EVERGREEN MEDICAL CENTER,CONECUH,Summary star rating,4,313,26,4/1/2016,3/31/2017,,
FAIRHOPE,AL,10100,THOMAS HOSPITAL,BALDWIN,Summary star rating,4,1200,37,4/1/2016,3/31/2017,,
