State,City,2017 Population,2017 Violent Crime,2017 Murder,2017 Rape,2017 Robbery,2017 Aggravated Assault,2017 Property Crime Total,2017 Burglary,"2017 Larceny-
theft",2017 Motor-Vehicle Theft,2017 Arson,2017 Total,2016 Population,2016 Violent Crime,2016 Murder,2016 Rape,2016 Robbery,2016 Aggravated Assault,2016 Property Crime,2016 Burglary,2016 Larceny - Theft,2016 Motor - Vehicle Theft,2016 Arson,2016 Total,2015 Population,2015 Violent Crime,2015 Murder,2015 Rape,2015 Robbery,2015 Aggravated Assault,2015 Property Crime,2015 Burglary,2015 Larceny - Theft,2015 Motor - Vehicle Theft,2015 Arson,2015 Total,,,,,,,,,
Alabama,Birmingham,N/A,"1,845",42,92,472,"1,223","6,458","1,292","4,350",816,0,"8,303",212549,"1,732",44,75,460,"1,153","5,875","1,318","3,807",750,76,"7,607","212,291","3,707",79,159,"1,114","2,355","13,499","3,146","8,838","1,515",145,"17,206",,,,,,,,,
Alabama,Mobile,N/A,925,20,53,235,617,"6,482","1,507","4,344",631,0,"7,407","249,921",793,18,47,181,547,"5,169","1,100","3,724",345,,"5,962","250,346","1,529",24,116,,402,987,"10,794","2,208","7,977",609,"2,516",,,,,,,,,
Alabama,Montgomery,N/A,656,19,35,185,417,"4,246","1,031","2,797",418,0,"4,902","199,565",563,18,42,187,316,"4,229","1,043","2,790",396,,"4,792","199,139","1,042",33,40,,391,578,"8,363","2,342","5,280",741,"1,620",,,,,,,,,
Alaska,Anchorage,N/A,"1,707",13,196,369,"1,129","7,708","1,089","5,180","1,439",31,"9,415","299,097","1,692",9,302,326,"1,055","6,853","1,031","4,901",921,38,"8,545","301,239","3,226",26,517,621,"2,062","11,801","1,685","8,962","1,154",106,"15,027",,,,,,,,,
Arizona,Chandler,N/A,303,1,67,72,163,"2,906",401,"2,298",207,10,"3,209","265,922",272,1,61,69,141,"2,987",453,"2,373",161,8,"3,259","258,875",490,1,79,114,296,"5,393",770,"4,367",256,45,"5,883",,,,,,,,,
Arizona,Glendale,N/A,598,7,36,247,308,"5,654",848,"4,198",608,18,"6,252","242,938",591,16,57,227,291,"6,683",975,"5,136",572,,"7,274","240,374",943,13,94,356,480,"12,955","1,986","9,920","1,049",51,"13,898",,,,,,,,,
Arizona,Mesa,N/A,"1,000",11,127,221,641,"5,472",962,"4,069",441,9,"6,472","478,277","1,069",12,146,210,701,"5,517","1,010","4,090",417,21,"6,586","471,034","1,972",16,241,408,"1,307","11,905","2,219","8,861",825,80,"13,877",,,,,,,,,
Arizona,Scottsdale,N/A,193,2,47,55,89,"2,684",437,"2,115",132,9,"2,877","240,885",197,2,55,59,81,"2,904",356,"2,436",112,8,"3,101","233,872",434,6,106,100,222,"5,332",829,"4,311",192,10,"5,766",,,,,,,,,
Arizona,Surprise,N/A,57,1,5,21,30,"1,300",124,"1,100",76,2,"1,357","130,679",65,3,6,23,33,"1,146",162,908,76,2,"1,211","128,525",168,2,17,44,105,"2,182",410,"1,667",105,23,"2,350",,,,,,,,,
Arizona,Tempe,N/A,463,3,74,120,266,"3,812",502,"3,083",227,12,"4,275","178,654",437,3,73,108,253,"4,050",599,"3,234",217,20,"4,487","175,556",721,7,101,183,430,"7,642","1,108","6,175",359,65,"8,363",,,,,,,,,
Arkansas,Little Rock,N/A,"1,737",28,92,257,"1,360","6,891","1,252","5,038",601,29,"8,628","198,800","1,421",16,82,305,"1,018","6,597","1,102","4,952",543,27,"8,018","198,647","2,950",32,167,670,"2,081","12,855","2,349","9,590",916,90,"15,805",,,,,,,,,
California,Anaheim,N/A,601,6,63,218,314,"4,629",652,"3,190",787,16,"5,230","353,504",620,4,70,183,363,"5,151",759,"3,677",715,17,"5,771","349,471","1,271",18,129,439,685,"10,038","1,476","6,893","1,669",28,"11,309",,,,,,,,,
California,Antioch,N/A,306,4,22,127,153,"1,873",301,"1,037",535,30,"2,179","112,090",396,7,25,165,199,"1,756",367,883,506,27,"2,152","110,537",771,7,53,280,431,"3,912",862,"2,026","1,024",36,"4,683",,,,,,,,,
California,Bakersfield,N/A,929,22,48,365,494,"7,570","1,643","4,621","1,306",127,"8,499","378,788",923,23,31,289,580,"8,264","1,932","4,898","1,434",151,"9,187","373,887","1,810",22,71,655,"1,062","15,559","3,877","9,288","2,394",339,"17,369",,,,,,,,,
California,Berkeley,N/A,322,1,39,180,102,"2,813",382,"2,140",291,6,"3,135","122,651",262,0,27,151,84,"2,637",437,"1,888",312,20,"2,899","120,387",530,1,44,330,155,"5,906","1,090","4,099",717,22,"6,436",,,,,,,,,
California,Burbank,N/A,113,0,7,40,66,"1,483",158,"1,187",138,11,"1,596","105,720",104,0,11,23,70,"1,358",202,"1,038",118,8,"1,462","105,865",159,1,10,50,98,"2,656",297,"2,136",223,13,"2,815",,,,,,,,,
California,Carlsbad,N/A,106,0,16,17,73,"1,014",204,745,65,7,"1,120","115,040",89,0,18,25,46,"1,137",192,863,82,4,"1,226","113,972",172,0,33,38,101,"2,134",366,"1,627",141,8,"2,306",,,,,,,,,
California,Chula Vista,N/A,370,0,29,135,206,"1,884",310,"1,232",342,13,"2,254","270,175",313,0,25,90,198,"2,125",332,"1,391",402,17,"2,438","265,215",705,6,63,239,397,"4,619",710,"3,093",816,27,"5,324",,,,,,,,,
California,Clovis,N/A,144,0,23,36,85,"1,516",245,"1,177",94,3,"1,660","105,865",131,2,18,35,76,"1,506",215,"1,178",113,3,"1,637","103,769",239,1,26,70,142,"3,083",420,"2,454",209,5,"3,322",,,,,,,,,
California,Concord,N/A,221,2,21,85,113,"2,130",203,"1,499",428,14,"2,351","129,903",221,1,14,75,131,"2,116",227,"1,374",515,8,"2,337","128,767",491,4,29,182,276,"4,618",594,"3,068",956,8,"5,109",,,,,,,,,
California,Corona,N/A,108,0,23,43,42,"1,807",308,"1,213",286,9,"1,915","166,534",95,1,24,45,25,"1,866",384,"1,133",349,11,"1,961","163,633",212,5,30,98,79,"3,727",615,"2,646",466,13,"3,939",,,,,,,,,
California,Costa Mesa,N/A,167,2,27,69,69,"2,321",342,"1,681",298,5,"2,488","113,816",203,0,28,72,103,"2,516",415,"1,769",332,19,"2,719","113,477",386,1,53,122,210,"4,723",698,"3,558",467,18,"5,109",,,,,,,,,
California,Daly City,N/A,144,0,30,58,56,829,104,629,96,4,973,"107,640",131,0,11,47,73,783,129,567,87,5,914,"107,320",234,0,26,89,119,"1,778",320,"1,200",258,8,"2,012",,,,,,,,,
California,Downey,N/A,183,1,13,84,85,"1,651",272,962,417,2,"1,834","114,704",189,1,6,93,89,"1,605",237,977,391,5,"1,794","114,754",335,7,23,173,132,"2,892",514,"1,586",792,17,"3,227",,,,,,,,,
California,El Cajon,N/A,189,0,24,62,103,"1,207",231,757,219,6,"1,396","104,483",202,1,29,67,105,"1,273",210,836,227,6,"1,475","103,942",360,2,50,107,201,"2,267",387,"1,517",363,15,"2,627",,,,,,,,,
California,El Monte,N/A,239,4,23,95,117,"1,396",361,677,358,4,"1,635","117,354",226,0,17,92,117,"1,191",338,539,314,17,"1,417","117,376",400,8,21,143,228,"2,132",461,991,680,29,"2,532",,,,,,,,,
California,Elk Grove,N/A,273,0,18,47,208,"1,179",208,862,109,0,"1,452","169,742",278,0,32,45,201,"1,269",210,934,125,1,"1,547","166,183",586,1,33,105,447,"3,120",589,"2,294",237,4,"3,706",,,,,,,,,
California,Escondido,N/A,252,3,21,68,160,"1,269",215,877,177,,"1,521","152,897",257,3,19,73,162,"1,665",221,"1,124",320,7,"1,922","151,732",529,7,48,176,298,"3,393",479,"2,308",606,15,"3,922",,,,,,,,,
California,Fairfield,N/A,283,5,18,99,161,"1,433",230,975,228,11,"1,716","114,521",275,2,29,78,166,"1,389",217,907,265,8,"1,664","112,582",486,8,46,167,265,"3,429",456,"2,406",567,30,"3,915",,,,,,,,,
California,Fontana,N/A,321,4,33,81,203,"1,840",295,"1,089",456,6,"2,161","209,531",447,5,40,113,289,"2,224",341,"1,318",565,7,"2,671","206,982",804,3,46,213,542,"4,269",764,"2,474","1,031",12,"5,073",,,,,,,,,
