Urban Area,State,COLI Composite
Anniston-CalhounCounty,AL,87.4
Auburn-Opelika,AL,92.3
Birmingham,AL,91.2
Decatur-Hartselle,AL,85.1
Dothan,AL,87
Florence,AL,87.9
Huntsville,AL,95.1
Mobile,AL,92.8
Montgomery,AL,92
Anchorage,AK,128.2
Fairbanks,AK,132.6
Juneau,AK,133.2
Kodiak,AK,130.3
Flagstaff,AZ,115.6
BullheadCity,AZ,89.7
LakeHavasuCity,AZ,104.3
Phoenix,AZ,94.8
Surprise,AZ,99
Prescott-PrescottValley,AZ,100
SierraVista,AZ,93.5
Tucson,AZ,94
Yuma,AZ,96.2
Fayetteville,AR,89.2
HotSprings,AR,90
Jonesboro,AR,84.4
Conway,AR,78.1
LittleRock-NorthLittleRock,AR,96.5
OrangeCounty,CA,152.5
Bakersfield,CA,104.7
Los Angeles,CA,147.8
Modesto,CA,108.8
Oakland,CA,149.2
Sacramento,CA,116.9
SanDiego,CA,145.9
SanFrancisco,CA,192.6
Stockton,CA,116.6
ColoradoSprings,CO,95.6
Denver,CO,111.8
Westminster,CO,113.3
GrandJunction,CO,94
Pueblo,CO,90.4
GlenwoodSprings,CO,118.7
Stamford,CT,142
Hartford,CT,116.6
NewHaven,CT,117.7
Dover,DE,97.6
SussexCounty,DE,101.7
Wilmington,DE,107.7
Washington,DC,155.5
CapeCoral-FortMyers,FL,93.8
DaytonaBeach,FL,92.2
PalmCoast-FlaglerCounty,FL,92.5
FortLauderdale,FL,119.3
Gainesville,FL,98.2
Jacksonville,FL,94.6
Miami,FL,114.4
Sarasota,FL,108.6
Orlando,FL,95.3
VeroBeach-IndianRiver,FL,99
Tallahassee,FL,96.4
Tampa,FL,94.5
Albany,GA,89.9
Atlanta,GA,98.8
Marietta,GA,99.2
Augusta-AikenGA-,SC,91.6
Dalton,GA,89.4
Dublin-LaurensCounty,GA,83.1
LaGrange-TroupCounty,GA,89.3
Savannah,GA,89.6
Statesboro-BullochCounty,GA,84.3
Valdosta,GA,91.9
Hilo,HI,145.8
Honolulu,HI,188
Boise,ID,92.3
TwinFalls,ID,91.6
Champaign-Urbana,IL,91
Chicago,IL,123.4
Joliet-WillCounty,IL,100.2
Danville,IL,90.5
Decatur,IL,88.4
Kankakee,IL,98.5
Peoria,IL,98.1
Rockford,IL,89.8
Springfield,IL,94.7
Bloomington,IN,96.3
Elkhart-Goshen,IN,94.6
Evansville,IN,89.1
FortWayne-AllenCounty,IN,91.5
Indianapolis,IN,92.4
Indianapolis-MorganCounty,IN,86.1
Lafayette,IN,88.7
Richmond,IN,78.9
SouthBend,IN,95.9
Ames,IA,92.5
Burlington,IA,84.1
CedarRapids,IA,94.8
Davenport-Moline-RockIsIA-,IL,96.2
DesMoines,IA,89.4
Dubuque,IA,89
MasonCity,IA,88.3
Waterloo-CedarFalls,IA,94.6
DodgeCity,KS,94
Hutchinson,KS,88.7
Manhattan,KS,91.1
Pittsburg,KS,84.3
Salina,KS,84.9
Topeka,KS,95.5
Wichita,KS,92
BowlingGreen,KY,92.6
Lexington,KY,95.9
Louisville,KY,92.2
Alexandria,LA,95.6
BatonRouge,LA,94.8
Hammond,LA,90.9
Lafayette,LA,90.3
LakeCharles,LA,93.8
Monroe,LA,92.6
NewOrleans,LA,101
Slidell-St.TammanyParish,LA,98.1
Shreveport-BossierCity,LA,90.7
Portland,ME,113.4
Baltimore,MD,116.7
Montgomery County,MD,140.2
Boston,MA,147.9
Framingham-Natick,MA,140.5
Pittsfield,MA,109.7
Fitchburg-Leominster,MA,116.1
Detroit,MI,96.8
GrandRapids,MI,94.3
Kalamazoo,MI,79.4
BentonHarbor,MI,87.9
Mankato,MN,93.5
Minneapolis,MN,104.7
St.Paul,MN,104.3
St.Cloud,MN,95.6
Gulfport-Biloxi,MS,88.7
Hattiesburg,MS,82.6
Jackson,MS,88.5
Tupelo,MS,80
Columbia,MO,92.7
JeffersonCity,MO,89.7
Joplin,MO,86.2
KansasCityMO-,KS,91.4
St.LouisMO-,IL,90.4
Springfield,MO,88.1
Bozeman,MT,100.2
Hastings,NE,93
Lincoln,NE,93.2
Omaha,NE,92
LasVegas,NV,102.4
Reno-Sparks,NV,106.6
Manchester,NH,114.7
Newark,NJ,122.9
Bergen-Passaic,NJ,125.6
Middlesex-Monmouth,NJ,116.7
Albuquerque,NM,94.7
LasCruces,NM,90.7
Albany,NY,107.3
Buffalo,NY,100.1
Ithaca,NY,104
NewYork(Brooklyn),NY,181.8
NewYork(Manhattan),NY,238.3
NewYork(Queens),NY,147.4
Rochester,NY,98
New York,NY,189.2
Utica-Rome,NY,96.5
Asheville,NC,96.9
Burlington,NC,88.6
Charlotte,NC,96
ChapelHill,NC,93.9
Durham,NC,89.9
DareCounty,NC,106
Raleigh,NC,96.2
Wilmington,NC,96.2
Thomasville-Lexington,NC,87.7
Winston-Salem,NC,92.5
Bismarck-Mandan,ND,98.7
Fargo-MoorheadND-,MN,99.8
GrandForks,ND,98
Minot,ND,101.6
Akron,OH,94.2
Ashland,OH,82.7
Cincinnati,OH,92.3
Cleveland,OH,101.1
Columbus,OH,89.6
Dayton,OH,90.8
Findlay,OH,97.9
Lima,OH,88.8
Ardmore,OK,90
Enid,OK,90.9
Lawton,OK,90.9
Muskogee,OK,85.5
Edmond,OK,89.5
Norman,OK,90.5
OklahomaCity,OK,84.8
PoncaCity,OK,89.6
Stillwater,OK,91.6
Tulsa,OK,91.8
PryorCreek,OK,94.7
Portland,OR,129.1
Allentown,PA,105.7
Harrisburg,PA,99.3
Philadelphia,PA,117
Pittsburgh,PA,99.4
Scranton,PA,98.3
Wilkes-Barre,PA,96.4
YorkCounty,PA,96.9
Providence,RI,123.4
Charleston-NCharleston,SC,103.9
Columbia,SC,98.3
Anderson,SC,91.4
Greenville,SC,94.5
HiltonHeadIsland,SC,108.6
Pierre,SD,99.3
SiouxFalls,SD,93
Chattanooga,TN,96.9
Clarksville,TN,93.3
Cleveland,TN,86.5
Cookeville,TN,87.7
Jackson-MadisonCounty,TN,91.9
Knoxville,TN,82
Memphis,TN,83.2
Morristown,TN,89.9
Columbia-MauryCounty,TN,91.9
Nashville,TN,96.6
Abilene,TX,96.3
Amarillo,TX,86
Austin,TX,97.3
RoundRock,TX,96
SanMarcos,TX,92.1
Beaumont,TX,96.9
Brownsville,TX,84.9
Harlingen,TX,78.5
CorpusChristi,TX,95.8
Allen,TX,93.7
Dallas,TX,101.9
Plano,TX,107.2
ElPaso,TX,88.6
FortWorth,TX,99.1
Weatherford,TX,88.1
BrazoriaCounty,TX,86.6
Conroe,TX,95
Houston,TX,98.1
Temple,TX,86.8
Longview,TX,91.2
Lubbock,TX,91.5
McAllen,TX,76
Midland,TX,96.1
Nacogdoches,TX,93.6
Odessa,TX,94.7
SanAntonio,TX,88
Seguin,TX,88.6
Sherman-Denison,TX,85.2
TexarkanaTX-,AR,85.6
Tyler,TX,91.5
Waco,TX,90.7
WichitaFalls,TX,81.5
CedarCity,UT,85
Ogden,UT,100.1
Provo-Orem,UT,98
St.George,UT,97.8
SaltLakeCity,UT,96.9
Burlington-ChittendenCounty,VT,120.5
Blacksburg,VA,90.4
Charlottesville,VA,107.6
DanvilleCity,VA,86.8
Harrisonburg,VA,97.8
Lynchburg,VA,89.2
Martinsville-HenryCounty,VA,83.8
Richmond,VA,95.9
Roanoke,VA,88.1
Staunton-AugustaCounty,VA,93.1
HamptonRoads-SEVirginia,VA,100.4
Northern Virginia,VA,144.2
Arlington,VA,144
WinchesterVA-,WV,99
Lexington-BuenaVista-Rockbridge,VA,95.9
Bellingham,WA,113.6
Kennewick-Richland-Pasco,WA,96.8
