ID,Country,GeoID,City,State,Area Type,Minutes,Margin of Error
0100000US,United States,310M300US10100,Aberdeen,SD,Micro,13.2,0.5
0100000US,United States,310M300US10140,Aberdeen,WA,Micro,24.8,1
0100000US,United States,310M300US10180,Abilene,TX,Metro,17.4,0.5
0100000US,United States,310M300US10220,Ada,OK,Micro,17.3,0.6
0100000US,United States,310M300US10300,Adrian,MI,Micro,26.5,0.7
0100000US,United States,310M300US10420,Akron,OH,Metro,23.4,0.3
0100000US,United States,310M300US10460,Alamogordo,NM,Micro,18.9,0.9
0100000US,United States,310M300US10500,Albany,GA,Metro,20.6,0.5
0100000US,United States,310M300US10540,Albany,OR,Metro,22.3,0.7
0100000US,United States,310M300US10580,Albany-Schenectady-Troy,NY,Metro,23,0.2
0100000US,United States,310M300US10620,Albemarle,NC,Micro,25.2,0.9
0100000US,United States,310M300US10660,Albert Lea,MN,Micro,18.9,0.8
0100000US,United States,310M300US10700,Albertville,AL,Micro,23.9,0.9
0100000US,United States,310M300US10740,Albuquerque,NM,Metro,23.4,0.3
0100000US,United States,310M300US10760,Alexander City,AL,Micro,24.5,1.1
0100000US,United States,310M300US10780,Alexandria,LA,Metro,24.5,0.9
0100000US,United States,310M300US10820,Alexandria,MN,Micro,17.9,0.9
0100000US,United States,310M300US10860,Alice,TX,Micro,27.5,1.5
0100000US,United States,310M300US10900,Allentown-Bethlehem-Easton,PA,Metro,27.9,0.3
0100000US,United States,310M300US10940,Alma,MI,Micro,22.8,0.9
0100000US,United States,310M300US10980,Alpena,MI,Micro,17.7,1.1
0100000US,United States,310M300US11020,Altoona,PA,Metro,19.5,0.5
0100000US,United States,310M300US11060,Altus,OK,Micro,14.6,0.9
0100000US,United States,310M300US11100,Amarillo,TX,Metro,18.7,0.4
0100000US,United States,310M300US11140,Americus,GA,Micro,20.9,1.2
0100000US,United States,310M300US11180,Ames,IA,Metro,17.5,0.7
0100000US,United States,310M300US11220,Amsterdam,NY,Micro,23.9,0.8
0100000US,United States,310M300US11260,Anchorage,AK,Metro,22.1,0.4
0100000US,United States,310M300US11380,Andrews,TX,Micro,18.5,2.1
0100000US,United States,310M300US11420,Angola,IN,Micro,22.1,1.2
0100000US,United States,310M300US11460,Ann Arbor,MI,Metro,23.4,0.3
0100000US,United States,310M300US11500,Anniston-Oxford-Jacksonville,AL,Metro,24.6,0.9
0100000US,United States,310M300US11540,Appleton,WI,Metro,19.7,0.3
0100000US,United States,310M300US11580,Arcadia,FL,Micro,25.2,2.1
0100000US,United States,310M300US11620,Ardmore,OK,Micro,19.4,0.9
0100000US,United States,310M300US11660,Arkadelphia,AR,Micro,21.6,1.6
0100000US,United States,310M300US11680,Arkansas City-Winfield,KS,Micro,18.4,1
0100000US,United States,310M300US11700,Asheville,NC,Metro,21.3,0.4
