Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
Phoenix Police Dept,AZ,12,1529852,8749,114,,1006,2952,4677,56977,14316,35461,7200,571.9,7.5,,65.8,193,305.7,3724.3,935.8,2317.9,470.6
Tucson Police Dept,AZ,12,527328,3443,35,,399,988,2021,,4247,,1823,652.9,6.6,,75.7,187.4,383.3,,805.4,,345.7
Fresno Police Dept,CA,12,513187,2382,47,53,,781,1501,21101,4721,13277,3103,464.2,9.2,10.3,,152.2,292.5,4111.8,919.9,2587.2,604.7
Los Angeles Police Dept,CA,12,3906772,19171,260,,1126,7949,9836,83139,15070,54281,13788,490.7,6.7,,28.8,203.5,251.8,2128.1,385.7,1389.4,352.9
San Diego Police Dept,CA,12,1368690,5214,32,371,,1318,3493,26812,5115,16691,5006,380.9,2.3,27.1,,96.3,255.2,1959,373.7,1219.5,365.8
San Francisco Police Dept,CA,12,850294,6761,45,,355,3224,3137,45093,5237,33730,6126,795.1,5.3,,41.8,379.2,368.9,5303.2,615.9,3966.9,720.5
San Jose Police Dept,CA,12,1009679,3242,32,306,,1072,1832,24577,5167,11850,7560,321.1,3.2,30.3,,106.2,181.4,2434.1,511.7,1173.6,748.8
Denver Police Dept,CO,12,665353,4002,31,,471,1088,2412,22405,4558,14404,3443,601.5,4.7,,70.8,163.5,362.5,3367.4,685,2164.9,517.5
Washington Metropolitan Police Dept,DC,12,658893,7810,105,,470,3231,4004,33027,3463,25881,3683,1185.3,15.9,,71.3,490.4,607.7,5012.5,525.6,3928,559
Jacksonville,FL,12,856021,5853,96,,479,1419,3859,33732,6806,24945,1981,683.7,11.2,,56,165.8,450.8,3940.6,795.1,2914.1,231.4
Miami Police Dept,FL,12,421996,4473,81,,110,1790,2492,20394,3659,14514,2221,1060,19.2,,26.1,424.2,590.5,4832.7,867.1,3439.4,526.3
Orlando Police Dept,FL,12,259675,2340,15,,167,620,1538,16515,3342,12182,991,901.1,5.8,,64.3,238.8,592.3,6359.9,1287,4691.2,381.6
St. Petersburg Police Dept,FL,12,250772,2169,19,,154,619,1377,14150,2612,10139,1399,864.9,7.6,,61.4,246.8,549.1,5642.6,1041.6,4043.1,557.9
Tampa Police Dept,FL,12,357124,2080,28,,62,514,1476,8670,1820,6355,495,582.4,7.8,,17.4,143.9,413.3,2427.7,509.6,1779.5,138.6
