Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
Phoenix Police Dept,AZ,12,1502139,9492,118,635,,3233,5506,60085,16747,36983,6355,631.9,7.9,42.3,,215.2,366.5,4000,1114.9,2462,423.1
Tucson Police Dept,AZ,12,525486,3368,47,216,,1002,2103,,4957,,2190,640.9,8.9,41.1,,190.7,400.2,,943.3,,416.8
Fresno Police Dept,CA,12,508876,2552,40,53,,903,1556,22584,5223,13304,4057,501.5,7.9,10.4,,177.4,305.8,4438,1026.4,2614.4,797.2
Los Angeles Police Dept,CA,12,3878725,16524,251,764,,7885,7624,85844,15728,55734,14382,426,6.5,19.7,,203.3,196.6,2213.2,405.5,1436.9,370.8
San Diego Police Dept,CA,12,1349306,5303,39,316,,1456,3492,31728,6355,19230,6143,393,2.9,23.4,,107.9,258.8,2351.4,471,1425.2,455.3
San Francisco Police Dept,CA,12,833863,7064,48,161,,4202,2653,48324,5931,36527,5866,847.1,5.8,19.3,,503.9,318.2,5795.2,711.3,4380.5,703.5
San Jose Police Dept,CA,12,992143,3215,38,270,,1095,1812,25510,5173,12411,7926,324,3.8,27.2,,110.4,182.6,2571.2,521.4,1250.9,798.9
Denver Police Dept,CO,12,"648,981","4,093",41,,519,"1,133","2,400","23,755","4,927","15,337","3,491",630.7,6.3,,80,174.6,369.8,"3,660.40",759.2,"2,363.20",537.9
Washington Metropolitan Police Dept,DC,12,646449,7880,103,,393,3660,3724,29569,3314,23108,3147,1219,15.9,,60.8,566.2,576.1,4574.1,512.6,3574.6,486.8
Jacksonville,FL,12,845745,5246,93,,452,1424,3277,33007,7069,24361,1577,620.3,11,,53.4,168.4,387.5,3902.7,835.8,2880.4,186.5
Miami Police Dept,FL,12,418394,4945,71,,96,2216,2562,20928,3993,15021,1914,1181.9,17,,22.9,529.6,612.3,5002,954.4,3590.2,457.5
Orlando Police Dept,FL,12,253238,2316,17,,126,573,1600,16489,3485,11984,1020,914.6,6.7,,49.8,226.3,631.8,6511.3,1376.2,4732.3,402.8
St. Petersburg Police Dept,FL,12,247084,2379,15,,155,634,1575,13181,2742,9315,1124,962.8,6.1,,62.7,256.6,637.4,5334.6,1109.7,3770,454.9
Tampa Police Dept,FL,12,351314,2097,28,,78,580,1411,8823,1950,6320,553,596.9,8,,22.2,165.1,401.6,2511.4,555.1,1799,157.4
Atlanta Police Dept,GA,12,451020,5516,83,105,,2363,2965,27528,5938,17158,4432,1223,18.4,23.3,,523.9,657.4,6103.5,1316.6,3804.3,982.7
Honolulu Police Dept,HI,6,984683,1135,10,121,,362,642,15755,2405,11568,1782,,,,,,,,,,
Boise Police Dept,ID,12,214330,558,3,,123,45,387,4753,825,3712,216,260.3,1.4,,57.4,21,180.6,2217.6,384.9,1731.9,100.8
Chicago Police Dept,IL,12,2720554,,416,,,11826,12108,97476,17875,66918,12683,,15.3,,,434.7,445.1,3582.9,657,2459.7,466.2
Indianapolis Police Dept,IN,12,850220,10479,129,,656,3800,5894,44606,13445,26156,5005,1232.5,15.2,,77.2,446.9,693.2,5246.4,1581.4,3076.4,588.7
Kansas City Police Dept,KS,12,147618,731,28,83,,238,382,7228,1617,4566,1045,495.2,19,56.2,,161.2,258.8,4896.4,1095.4,3093.1,707.9
Wichita Police Dept,KS,12,386486,3069,15,,250,467,2337,20860,3941,14930,1989,794.1,3.9,,64.7,120.8,604.7,5397.3,1019.7,3863,514.6
Lexington-Fayette County Police Department,KY,12,308712,946,18,,138,467,323,12524,2585,9103,836,306.4,5.8,,44.7,151.3,104.6,4056.9,837.4,2948.7,270.8
Louisville Metro,KY,12,671120,3644,48,160,,1427,2009,28780,6920,19835,2025,543,7.2,23.8,,212.6,299.4,4288.4,1031.1,2955.5,301.7
Baton Rouge Police Dept,LA,12,230212,2127,49,74,,974,1030,11418,3264,7648,506,923.9,21.3,32.1,,423.1,447.4,4959.8,1417.8,3322.2,219.8
New Orleans Police Dept,LA,12,377022,2965,156,176,,1138,1495,14525,3203,9179,2143,786.4,41.4,46.7,,301.8,396.5,3852.6,849.6,2434.6,568.4
Baltimore City Police Dept,MD,12,622671,8725,233,298,,3734,4460,30789,7391,18946,4452,1401.2,37.4,47.9,,599.7,716.3,4944.7,1187,3042.7,715
Boston Police Dept,MA,12,643799,5037,39,279,,1868,2851,17853,3096,13147,1610,782.4,6.1,43.3,,290.2,442.8,2773.1,480.9,2042.1,250.1
Ann Arbor Police Dept,MI,12,116799,251,2,,53,49,147,2538,409,2036,93,214.9,1.7,,45.4,42,125.9,2173,350.2,1743.2,79.6
Detroit Police Dept,MI,12,699889,14501,316,,613,4771,8801,40558,11758,17198,11602,2071.9,45.2,,87.6,681.7,1257.5,5794.9,1680,2457.2,1657.7
Grand Rapids Police Dept,MI,12,191213,1326,17,,82,471,756,6188,1621,4315,252,693.5,8.9,,42.9,246.3,395.4,3236.2,847.7,2256.6,131.8
Minneapolis Police Dept,MN,12,396206,4038,36,,385,1856,1761,19358,4601,13182,1575,1019.2,9.1,,97.2,468.4,444.5,4885.8,1161.3,3327.1,397.5
St. Paul Police Dept,MN,12,294690,2200,14,,218,716,1252,10973,2769,6443,1761,746.5,4.8,,74,243,424.9,3723.6,939.6,2186.4,597.6
Jackson Police Dept,MS,12,176039,1631,50,110,,845,626,10284,3366,5864,1054,926.5,28.4,62.5,,480,355.6,5841.9,1912.1,3331.1,598.7
Kansas City Police Dept,MO,12,465514,5876,99,,392,1666,3719,24655,6336,14015,4304,1262.3,21.3,,84.2,357.9,798.9,5296.3,1361.1,3010.7,924.6
St. Louis Police Dept,MO,12,318563,5077,120,,333,1457,3167,21087,4305,13452,3330,1593.7,37.7,,104.5,457.4,994.2,6619.4,1351.4,4222.7,1045.3
