City,State,INDEX,,MIN,>90,<32,PCPN,>.01,SNOW,SUN,THI
San Diego, CA,89,,0,3,0,11,37,0,68,0
San Francisco C.O., CA,87,,0,2,0,22,67,0,66,0
Los Angeles, CA,86,,0,23,0,15,33,0,73,3
Sacramento, CA,80,,5,74,14,18,58,0,78,4
Eureka, CA,79,,6,0,4,38,114,0,51,0
Las Vegas, NV,78,,4,133,25,4,19,1,85,4
Fresno, CA,78,,5,109,17,11,43,0,79,4
Redding, CA,76,,8,98,28,34,76,4,88,4
Galveston, TX,76,,0,12,4,44,97,0,62,6
Key West, FL,76,,0,50,0,39,103,0,76,8
Tucson, AZ,76,,3,153,15,12,44,1,85,4
El Paso, TX,76,,9,102,57,9,42,6,84,4
Yuma, AZ,75,,0,176,2,3,16,0,90,8
Honolulu,HI,75,,0,34,0,18,89,0,71,12
Kahului, HI,75,,0,27,0,19,88,0,67,12
Phoenix, AZ,75,,2,184,4,8,28,0,85,5
Seattle Sea-Tac Ap, WA,74,,6,3,29,37,150,11,47,0
Apalachicola, FL,73,,1,27,6,57,105,0,67,7
Cape Hatteras, NC,73,,4,7,28,58,114,2,60,4
Lihue, HI,73,,0,0,0,40,193,0,59,9
Portland, OR,72,,10,13,39,37,147,7,48,0
Albuquerque, NM,72,,17,61,111,9,53,11,76,3
Tampa, FL,71,,0,87,2,45,100,0,66,6
Midland-Odessa, TX,71,,11,100,60,15,45,5,74,5
Norfolk, VA,70,,9,31,55,46,111,8,60,3
Atlanta, GA,70,,7,35,46,50,108,2,60,4
Miami, FL,70,,0,62,0,59,126,0,70,9
Roswell, NM,70,,14,95,85,13,48,12,74,4
Charleston Ap,SC,70,,3,57,32,52,106,1,63,5
Jacksonville, FL,70,,3,79,12,52,109,0,63,5
Abilene, TX,69,,9,93,53,24,59,5,71,6
Lake Charles, LA,69,,3,76,12,57,98,0,72,8
Reno, NV,69,,23,58,153,7,46,25,79,2
Savannah, GA,69,,3,69,28,50,105,0,62,5
Wilmington, NC,69,,4,44,44,57,111,2,63,5
Charlotte, NC,69,,11,43,62,44,104,6,62,4
Boise, ID,69,,17,48,119,12,82,21,64,2
New York, NY,68,,12,18,78,50,116,29,58,2
Grand Junction, CO,68,,17,63,137,9,65,24,71,2
Pensacola, FL,68,,2,67,14,64,104,0,60,5
Lubbock, TX,68,,13,82,91,19,57,10,72,5
Greensboro-Wnstn-Salm,NC,68,,11,31,80,43,110,9,60,3
Amarillo, TX,68,,17,65,113,20,64,17,73,4
Oklahoma City, OK,68,,11,68,70,36,77,10,68,5
Washington,DC,68,,11,39,66,39,105,20,56,3
Boston, MA,68,,14,13,92,43,120,43,58,2
Macon, GA,68,,7,80,46,45,102,1,66,5
Asheville, NC,68,,15,9,98,47,120,16,59,2
Greenville-Spartanburg, SC,68,,11,40,61,50,109,7,60,4
Salt Lake City, UT,67,,17,55,118,17,85,58,66,2
Philadelphia, PA,67,,12,24,90,42,111,22,56,2
Cheyenne, WY,67,,24,13,165,15,93,57,66,0
Richmond, VA,67,,11,46,84,44,108,14,63,3
Spokane, WA,67,,18,20,133,17,107,49,55,0
Columbia, SC,67,,7,71,53,48,103,2,64,5
Denver, CO,67,,20,33,152,16,82,60,69,2
Lynchburg, VA,67,,15,24,94,43,111,19,59,3
Raleigh, NC,67,,11,42,73,43,109,8,58,4
Knoxville, TN,66,,11,29,72,48,121,12,56,4
Dallas, TX,66,,5,98,37,35,72,3,61,7
Louisville, KY,66,,11,31,85,45,118,17,56,3
Atlantic City Ap, NJ,66,,15,18,111,41,107,17,56,2
Pueblo, CO,66,,21,72,158,12,65,32,76,2
Austin, TX,66,,3,109,16,34,78,1,60,8
Flagstaff, AZ,66,,26,6,210,23,78,101,78,0
Memphis, TN,66,,9,66,56,55,99,5,64,5
Billings, MT,66,,20,31,146,15,92,57,60,1
Harrisburg, PA,66,,15,23,106,41,126,34,58,2
Brownsville, TX,66,,0,136,3,28,66,0,60,9
