Region Name,State,2018-01
New York,NY,1.542
Los Angeles,CA,1.956
Chicago,IL,1.178
Dallas,TX,0.926
Philadelphia,PA,1.04
Houston,TX,0.864
Washington,DC,1.388
Miami,FL,1.382
Atlanta,GA,0.782
Boston,MA,1.514
San Francisco,CA,2.296
Detroit,MI,0.954
Riverside,CA,1.156
Phoenix,AZ,0.87
Seattle,WA,1.29
Minneapolis-St Paul,MN,1.31
San Diego,CA,1.724
St. Louis,MO,0.896
Tampa,FL,0.986
Baltimore,MD,1.22
Denver,CO,1.382
Pittsburgh,PA,0.832
Charlotte,NC,0.798
Sacramento,CA,1.174
San Antonio,TX,0.864
Orlando,FL,0.912
Cincinnati,OH,0.862
Cleveland,OH,0.834
Kansas City,MO,0.918
Las Vegas,NV,0.82
Columbus,OH,0.892
Indianapolis,IN,0.76
San Jose,CA,2.394
Austin,TX,0.988
Virginia Beach,VA,0.882
Nashville,TN,0.92
Providence,RI,1.252
Milwaukee,WI,0.992
Memphis,TN,0.686
Oklahoma City,OK,0.736
Louisville-Jefferson County,KY,0.886
Hartford,CT,1.132
Richmond,VA,0.852
New Orleans,LA,0.826
Buffalo,NY,0.898
Raleigh,NC,0.808
Birmingham,AL,0.734
Salt Lake City,UT,1.188
Rochester,NY,0.974
Grand Rapids,MI,0.932
Tucson,AZ,0.798
Urban Honolulu,HI,2.036
Tulsa,OK,0.698
Fresno,CA,0.882
Worcester,MA,1.132
Stamford,CT,1.49
Albuquerque,NM,0.654
Albany,NY,1.096
Omaha,NE,0.972
New Haven,CT,1.158
Bakersfield,CA,0.884
Knoxville,TN,0.796
Greenville,SC,0.768
Ventura,CA,1.66
Allentown,PA,0.932
El Paso,TX,0.694
Baton Rouge,LA,0.87
Dayton,OH,0.768
McAllen,TX,0.752
Columbia,SC,0.732
Akron,OH,0.804
North Port-Sarasota-Bradenton,FL,1.186
Little Rock,AR,0.666
Stockton,CA,1.034
Charleston,SC,1.054
Syracuse,NY,0.962
Colorado Springs,CO,0.828
Winston-Salem,NC,0.686
Wichita,KS,0.74
Springfield,MA,1.158
Fort Myers,FL,1.1
Boise City,ID,0.822
Toledo,OH,0.736
Madison,WI,1.1
Lakeland,FL,0.824
Ogden,UT,1.03
Daytona Beach,FL,0.88
Des Moines,IA,1.04
Jackson,MS,0.776
Youngstown,OH,0.62
Augusta,GA,0.662
Scranton,PA,0.648
Harrisburg,PA,0.846
Melbourne,FL,0.962
Chattanooga,TN,0.738
Spokane,WA,0.966
Provo,UT,0.942
Lancaster,PA,0.806
Modesto,CA,0.98
Portland,ME,1.25
Durham,NC,0.87
Santa Rosa,CA,1.838
Lexington,KY,0.76
Lafayette,LA,0.742
Lansing,MI,0.868
Fayetteville,AR,0.746
Pensacola,FL,0.706
Visalia,CA,0.846
Shreveport,LA,0.696
Springfield,MO,0.602
York,PA,0.87
Corpus Christi,TX,0.992
Reno,NV,1.034
Asheville,NC,0.948
Port St. Lucie,FL,1.038
Huntsville,AL,0.63
Fort Wayne,IN,0.698
Salinas,CA,1.71
Vallejo,CA,1.342
Mobile,AL,0.658
Reading,PA,0.81
Brownsville,TX,0.756
Killeen,TX,0.65
Canton,OH,0.72
Beaumont,TX,0.83
Manchester,NH,1.222
Salem,OR,1.038
Anchorage,AK,1.296
Davenport,IL,0.942
Peoria,IL,0.804
Myrtle Beach,SC,0.914
Montgomery,AL,0.606
Salisbury,MD,0.92
Gulfport,MS,0.664
Tallahassee,FL,0.844
Trenton,NJ,1.278
Fayetteville,NC,0.594
Hickory,NC,0.726
Huntington,WV,0.66
Eugene,OR,1.032
Rockford,IL,0.782
Savannah,GA,0.836
Ann Arbor,MI,1.256
Ocala,FL,0.742
Kalamazoo,MI,0.854
South Bend,IN,0.808
Spartanburg,SC,0.74
Evansville,IN,0.714
Kingsport,TN,0.704
Roanoke,VA,0.824
Lincoln,NE,1.048
Fort Collins,CO,1.004
Utica,NY,0.882
Columbus,GA,0.588
Boulder,CO,1.274
Lubbock,TX,0.75
Erie,PA,0.72
Fort Smith,AR,0.606
Duluth,MN,1.148
Atlantic City,NJ,1.06
New London,CT,1.074
San Luis Obispo,CA,1.52
Gainesville,FL,0.854
Santa Cruz,CA,2.218
Clarksville,TN,0.674
Cedar Rapids,IA,0.864
Merced,CA,0.862
Wilmington,NC,0.894
Kennewick,WA,0.938
Greeley,CO,0.998
Waco,TX,0.768
Lynchburg,VA,0.746
Olympia,WA,0.962
Amarillo,TX,0.772
Binghamton,NY,0.872
Hagerstown,MD,0.786
Bremerton,WA,1.202
Laredo,TX,0.83
Yakima,WA,0.856
Crestview-Fort Walton Beach-Destin,FL,0.92
Topeka,KS,0.754
Macon,GA,0.618
Champaign-Urbana,IL,0.762
Tuscaloosa,AL,0.736
College Station,TX,0.884
Sioux Falls,SD,0.942
Charleston,WV,0.624
Chico,CA,0.976
Charlottesville,VA,1.042
Claremont,NH,1.01
Cape Cod,MA,1.408
Longview,TX,0.702
Burlington,VT,1.308
Prescott,AZ,0.924
Tyler,TX,0.772
Las Cruces,NM,0.648
Fargo,ND,1.088
Rochester,MN,1.012
Florence,SC,0.746
Medford,OR,1.016
Lafayette-West Lafayette,IN,0.712
Bellingham,WA,1.032
Lake Havasu City,AZ,0.77
Johnson City,TN,0.692
Elkhart,IN,0.76
Yuma,AZ,0.69
Racine,WI,0.912
Athens,GA,0.75
Torrington,CT,1.052
St. Cloud,MN,0.694
Hilton Head Island,SC,1.122
Hilo,HI,1.426
Panama City,FL,0.932
Kingston,NY,1.196
Daphne,AL,0.818
Gainesville,GA,0.854
Warner Robins,GA,0.64
Blacksburg,VA,0.75
Redding,CA,0.928
Joplin,MO,0.538
El Centro,CA,0.87
Terre Haute,IN,0.594
Muskegon,MI,0.716
East Stroudsburg,PA,0.894
Sioux City,IA,0.818
Greenville,NC,0.694
Waterloo,IA,0.852
Oshkosh,WI,0.756
Yuba City,CA,0.896
Abilene,TX,0.704
Columbia,MO,0.706
Dover,DE,0.82
Eau Claire,WI,0.828
Jackson,MI,0.682
Punta Gorda,FL,1.15
Bloomington,IN,0.868
Pueblo,CO,0.942
Billings,MT,1.032
Bowling Green,KY,0.694
Bend,OR,1.068
Albany,GA,0.59
Vineland,NJ,0.934
Ottawa,IL,0.786
State College,PA,0.888
Alexandria,LA,0.642
Decatur,AL,0.596
Hanford,CA,0.824
Iowa City,IA,1.002
Monroe,MI,0.688
Wichita Falls,TX,0.642
Burlington,NC,0.712
Madera,CA,0.768
Jefferson City,MO,0.602
