,City,Compound_x,Degree_score_x,Compound_y,Degree_score_y,Compound,Degree_score,Total Degree Score,Final Degree Score
0,miami,0.2776,10.0,0.112884,7.0,0.1552054117647058,8.5,25.5,9.2
1,pittsburgh,0.197391,8.3,0.124671,7.4,0.1300889112903224,7.7,23.400000000000002,8.4
2,nashville,0.19323900000000002,8.3,0.188752,9.5,0.20286333333333292,10.0,27.8,10.0
3,atlanta,1.7394,7.9,0.166684,8.8,0.1500216599190281,8.3,25.000000000000004,9.0
4,denver,0.155278,7.5,0.08028400000000001,5.9,0.1835262729124234,9.4,22.8,8.2
5,indianapolis,0.155943,7.5,-0.094075,0.2,0.06119661733615227,5.5,13.2,4.7
6,austin,0.147265,7.3,0.113953,7.0,0.16542539999999975,8.8,23.1,8.3
7,rockville,0.138819,7.1,0.167512,8.8,0.18717122736418484,9.5,25.4,9.1
8,newark,0.13808,7.1,0.116248,7.1,0.13131612903225798,7.7,21.9,7.9
9,los angeles,0.129343,6.9,-0.03443,2.2,0.04641442307692308,5.0,14.100000000000001,5.1
10,alexandria,0.12406500000000001,6.8,-0.059773,1.4,0.043773293172690776,5.0,13.2,4.7
11,raleigh,0.11436199999999999,6.6,0.028291000000000004,4.2,0.08209637096774179,6.2,17.0,6.1
12,columbus,0.092735,6.2,0.204484,10.0,0.07536179540709814,6.0,22.2,8.0
13,boston,0.078493,5.9,-0.009928,3.0,0.058769400000000006,5.4,14.3,5.1
14,dallas,0.066886,5.6,0.169504,8.9,0.1730835671342685,9.1,23.6,8.5
15,philadelphia,0.034602999999999995,5.0,0.071109,5.6,0.08561524390243892,6.3,16.9,6.1
16,new york,0.018357,4.6,0.024571,4.1,-0.008197800000000003,3.3,12.0,4.3
17,chicago,0.010986,4.5,0.198456,9.8,0.12405305263157886,7.5,21.8,7.8
18,washington,-0.20373,0.0,-0.10116,0.0,-0.11238139999999988,0.0,0.0,0.0
