Name,City,State,Legacy NTD ID,NTD ID,Organization Type,NTD Reporter Type,Primary UZA Population,Agency VOMS,Mode,Type of Service,Mode VOM,Max Trains In Operation,Average Speed (mi/hr),Average Passenger Trip Length (mi),Passengers per Hour,Scheduled Vehicle Revenue Miles,Vehicle Miles,Vehicle Revenue Miles,Deadhead Miles,Vehicle Hours,Vehicle Revenue Hours,Deadhead Hours,Train Miles,Train Revenue Miles,Train Hours,Train Revenue Hours,Unlinked Passenger Trips,Passenger Miles,Directional Route Miles,,,,,,,,,,,,,,,,,
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295 "," 11,004 ",HR,DO,"5,324",580, 18.23 , 4.12 , 140.40 ,"366,363,402 ","357,939,619 ","347,091,534 ","10,848,085 ","20,057,049 ","19,040,477 ","1,016,572 ","39,342,476 ","38,134,129 ","2,203,621 ","2,091,929 ","2,673,282,334 ","11,009,026,066 ",489.4,,,,,,,,,,,,,,,,,
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295 "," 11,004 ",MB,DO,"3,286",0, 7.08 , 2.09 , 60.60 ,"85,380,238 ","98,994,910 ","86,863,364 ","12,131,546 ","14,005,425 ","12,272,959 ","1,732,466 ",0 ,0 ,0 ,0 ,"743,752,458 ","1,553,770,171 ","1,760.0",,,,,,,,,,,,,,,,,
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295 "," 11,004 ",DR,PT,"1,794",0, 10.03 , 8.91 , 1.30 ,0 ,"59,318,874 ","48,814,480 ","10,504,394 ","5,890,931 ","4,866,273 ","1,024,658 ",0 ,0 ,0 ,0 ,"6,316,903 ","56,308,809 ",0.0,,,,,,,,,,,,,,,,,
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295 "," 11,004 ",CB,DO,455,0, 15.79 , 12.54 , 21.66 ,"8,825,052 ","15,561,164 ","9,214,967 ","6,346,197 ","983,507 ","583,524 ","399,983 ",0 ,0 ,0 ,0 ,"12,641,225 ","158,465,369 ",357.1,,,,,,,,,,,,,,,,,
MTA New York City Transit,New York,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295 "," 11,004 ",RB,DO,145,0, 6.52 , 1.90 , 62.73 ,"2,799,614 ","3,183,091 ","2,988,560 ","194,531 ","488,264 ","458,335 ","29,929 ",0 ,0 ,0 ,0 ,"28,750,626 ","54,624,590 ",64.6,,,,,,,,,,,,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 "," 4,056 ",MB,DO,"1,857",0, 14.23 , 8.07 , 29.16 ,"72,094,744 ","94,165,129 ","72,451,012 ","21,714,117 ","6,132,412 ","5,092,968 ","1,039,444 ",0 ,0 ,0 ,0 ,"148,523,945 ","1,198,810,970 ","5,614.3",,,,,,,,,,,,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 "," 4,056 ",CR,DO,"1,267",134, 33.10 , 23.01 , 49.00 ,"61,199,622 ","64,713,399 ","61,393,168 ","3,320,231 ","2,220,017 ","1,854,688 ","365,329 ","9,525,861 ","9,031,214 ","325,724 ","277,938 ","90,872,267 ","2,090,913,150 ","1,001.8",,,,,,,,,,,,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 "," 4,056 ",DR,PT,474,0, 16.80 , 6.10 , 1.75 ,0 ,"17,857,141 ","14,882,395 ","2,974,746 ","1,046,068 ","886,102 ","159,966 ",0 ,0 ,0 ,0 ,"1,550,589 ","9,454,903 ",0.0,,,,,,,,,,,,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 "," 4,056 ",VP,PT,204,0, 43.98 , 35.29 , 7.22 ,0 ,"4,701,081 ","4,701,081 ",0 ,"106,902 ","106,902 ",0 ,0 ,0 ,0 ,0 ,"771,732 ","27,231,268 ",0.0,,,,,,,,,,,,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 "," 4,056 ",MB,PT,182,0, 11.74 , 4.37 , 18.30 ,"7,333,313 ","8,324,242 ","7,294,248 ","1,029,994 ","746,503 ","621,386 ","125,117 ",0 ,0 ,0 ,0 ,"11,371,784 ","49,749,447 ",691.0,,,,,,,,,,,,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 "," 4,056 ",LR,PT,42,20, 17.11 , 3.91 , 135.44 ,"1,955,336 ","1,991,437 ","1,951,272 ","40,165 ","116,361 ","114,076 ","2,285 ","1,284,696 ","1,262,188 ","72,244 ","70,017 ","15,450,736 ","60,389,250 ",34.1,,,,,,,,,,,,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 "," 4,056 ",YR,PT,16,12, 24.95 , 14.66 , 52.75 ,"1,299,377 ","1,329,244 ","1,299,376 ","29,868 ","55,788 ","52,073 ","3,715 ","1,026,060 ","1,026,060 ","41,485 ","41,485 ","2,746,696 ","40,272,993 ",69.7,,,,,,,,,,,,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 "," 4,056 ",LR,DO,14,14, 10.08 , 2.28 , 112.63 ,"520,358 ","522,999 ","512,245 ","10,754 ","57,068 ","50,824 ","6,244 ","522,999 ","512,245 ","57,068 ","50,824 ","5,724,544 ","13,075,858 ",12.4,,,,,,,,,,,,,,,,,
Los Angeles County Metropolitan Transportation Authority dba: Metro,Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996 "," 3,544 ",MB,DO,"1,777",0, 10.62 , 4.09 , 46.14 ,"69,196,135 ","81,824,514 ","68,503,553 ","13,320,961 ","7,045,968 ","6,450,832 ","595,136 ",0 ,0 ,0 ,0 ,"297,645,917 ","1,217,655,744 ","3,180.1",,,,,,,,,,,,,,,,,
Los Angeles County Metropolitan Transportation Authority dba: Metro,Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996 "," 3,544 ",VP,PT,"1,378",0, 42.15 , 45.42 , 5.27 ,0 ,"32,197,552 ","32,197,552 ",0 ,"763,949 ","763,949 ",0 ,0 ,0 ,0 ,0 ,"4,025,577 ","182,841,314 ",0.0,,,,,,,,,,,,,,,,,
Los Angeles County Metropolitan Transportation Authority dba: Metro,Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996 "," 3,544 ",LR,DO,161,65, 20.73 , 6.88 , 93.64 ,"13,886,268 ","14,190,109 ","13,746,952 ","443,157 ","705,190 ","663,023 ","42,167 ","6,473,063 ","6,272,460 ","319,219 ","300,429 ","62,085,975 ","427,260,143 ",171.9,,,,,,,,,,,,,,,,,
