,City,Score with Driving,Degree_score,State
0,atlanta,26.689175339020807,5.1,GA
1,austin,33.033972738811045,1.8,TX
2,boston,24.47018951688783,6.2,MA
3,chicago,30.058118822448613,3.3,IL
4,columbus,24.55312216155005,6.2,OH
5,dallas,28.254638253743792,4.3,TX
6,denver,26.79359451892987,5.0,CO
7,indianapolis,24.28920990648313,6.3,IN
8,los angeles,26.692047319115282,5.1,CA
9,miami,25.566191695281486,5.7,FL
10,rockville,33.04361892625478,1.8,MD
11,nashville,33.520134553976156,1.5,TN
12,newark,30.092175069311324,3.3,NJ
13,new york,30.64052599570794,3.0,NY
14,alexandria,36.48303954956693,0.0,VA
15,philadelphia,24.00981086106867,6.5,PA
16,pittsburgh,17.166834197877012,10.0,PA
17,raleigh,20.151047718865293,8.5,NC
18,washington,29.697949825493055,3.5,DC
